benchmark,x,y,avg_cpu_pct,max_mem_mb,avg_gpu_pct,avg_gpu_mem_pct
int,200000000,0.068317,64.60000000000001,1.0,,
int,1000000000,0.342865,64.60000000000001,1.0,,
int,2000000000,0.687092,64.60000000000001,1.0,,
int,4000000000,1.393927,64.60000000000001,1.0,,
flt,200000000,0.519713,94.06315789473683,1.0,,
flt,1000000000,2.598968,94.06315789473683,1.0,,
flt,2000000000,5.194652,94.06315789473683,1.0,,
flt,4000000000,10.396743,94.06315789473683,1.0,,
lat,8,0.0,0.0,0.0,,
lat,16,0.0,0.0,0.0,,
lat,24,0.0,0.0,0.0,,
lat,32,0.0,0.0,0.0,,
lat,40,0.0,0.0,0.0,,
lat,48,0.0,0.0,0.0,,
lat,56,0.0,0.0,0.0,,
lat,64,0.0,0.0,0.0,,
bw,32,0.0,0.0,0.0,,
bw,64,0.0,0.0,0.0,,
bw,96,0.0,0.0,0.0,,
bw,128,0.0,0.0,0.0,,
bw,160,0.0,0.0,0.0,,
bw,192,0.0,0.0,0.0,,
bw,224,0.0,0.0,0.0,,
bw,256,0.0,0.0,0.0,,
sort,1000000,0.037748,97.5,1,,
sort,5000000,0.210833,97.5,1,,
sort,10000000,0.438832,97.5,1,,
sql,10000,0.007451,14.0,9,,
sql,50000,0.038061,14.0,9,,
sql,100000,0.078253,14.0,9,,
sql,200000,0.15948,14.0,9,,
ml,10000,0.00573,7.0,2,,
ml,50000,0.038641,7.0,2,,
ml,100000,0.090925,7.0,2,,
ml,200000,0.227053,7.0,2,,
cache,4,3.2,65.16666666666667,2.0,,
cache,32,3.753,65.16666666666667,2.0,,
cache,256,3.827,65.16666666666667,2.0,,
cache,1024,3.863,65.16666666666667,2.0,,
cache,2048,3.875,65.16666666666667,2.0,,
cache,4096,3.863,65.16666666666667,2.0,,
thread_scalability,1,0.064013,,,,
thread_scalability,2,0.032765,,,,
thread_scalability,3,0.022035,,,,
thread_scalability,4,0.016543,,,,
thread_scalability,5,0.013282,,,,
thread_scalability,6,0.011092,,,,
thread_scalability,7,0.009523,,,,
thread_scalability,8,0.011024,,,,
thread_scalability,9,0.011217,,,,
thread_scalability,10,0.012934,,,,
